dataset_id,diameter [mm],tensile strength [MPa]
1,0.894509562,32.27678571
1,0.946946329,31.328125
1,1.039481801,31.88616071
1,1.036397286,30.65848214
1,1.14127082,31.49553571
1,1.132017273,32.72321429
2,15.3039698,8.179165967
2,14.40764215,8.83860394
2,13.48751859,10.47027233
2,11.91103993,13.45749136
2,10.91197803,14.37074585
2,10.86507265,13.75912941
2,12.48136369,10.00990891
2,14.70110971,7.880701458
2,14.71955154,7.321214426
2,14.82173664,6.895123906
2,14.68692369,6.531275536
2,13.84761469,7.043552845
2,13.82802883,6.708101884
2,13.40871754,5.891498943
2,12.83551081,6.331268834
2,12.20231095,6.870657903
2,11.48893719,7.082643602
2,11.10637227,8.552067617
2,10.35318613,9.581949157
2,9.895206498,10.71184654
2,8.827182245,14.06448659
2,9.307722229,12.96509862
2,9.206726919,14.00567261
2,9.952179385,12.76228827
2,9.842855509,14.25268722
2,8.068642032,16.9271612
2,7.602974488,16.95999417
2,7.673675781,15.56176345
2,8.365678984,13.54374309
2,9.686168631,8.922631879
2,10.67575792,7.924377123
2,9.401716051,5.96397679
2,9.235419288,5.026711129
2,7.565129848,4.535202941
2,7.400572017,6.249268872
2,6.855874614,7.179572964
2,6.549365061,8.381663965
2,6.000503375,10.58517932
2,6.993662052,8.679248759
2,6.249948518,13.53673098
2,6.381192083,16.1425523
2,7.107058689,13.19008919
2,5.735499371,21.78009965
2,4.524379362,25.30369998
2,4.864157419,20.16476511
2,4.873675781,17.54493753
2,4.515501659,18.73990549
2,4.153163254,21.67525126
2,4.106257865,17.02063588
2,3.765290013,23.65763012
2,3.249101933,32.39442882
2,2.859444,38.50425611
2,2.631369409,32.32637729
2,3.265164169,22.52270946
2,2.910559433,21.58436585
2,2.984235213,11.2253969
2,2.502505434,12.8051777
2,3.894840407,5.957040231
2,3.941745796,11.40781677
2,4.631369409,10.43522542
2,5.139228921,10.22548423
2,5.587095298,10.00864917
2,4.895137856,3.692488061
2,15.92325821,11.77179452
2,16.44599016,10.85763253
2,17.04349617,10.95796835
2,16.32829196,12.37264658
3,2.48951049,193.5047361
3,5.188811189,214.1407307
3,4.587412587,117.0500677
3,3.706293706,65.29093369
3,3.916083916,55.48037889
3,3.804195804,43.30175913
3,4.321678322,45.66982409
3,4.895104895,45.66982409
3,5.286713287,40.93369418
3,6.517482517,34.50608931
3,6.713286713,19.62110961
3,6.909090909,24.69553451
3,7.328671329,28.41677943
3,7.384615385,17.25304465
3,7.678321678,19.62110961
3,7.888111888,14.8849797
3,9.51048951,20.97428958
3,9.398601399,27.40189445
3,10.02797203,27.06359946
3,12.01398601,17.59133965
3,12.20979021,13.87009472
3,12.05594406,5.074424899
3,11.70629371,3.721244926
3,13.02097902,2.706359946
3,13.02097902,8.795669824
3,14,4.736129905
3,14,10.1488498
3,14.5034965,5.074424899
3,15.21678322,18.60622463
3,15.51048951,7.442489851
3,17.51048951,1.691474966
3,18.01398601,1.691474966
3,18.26573427,9.810554804
3,18.88111888,13.53179973
3,18.72727273,6.427604871
3,19.02097902,2.706359946
3,0.405594406,103.5182679
3,0.909090909,81.19079838
3,1.006993007,76.45466847
3,1.062937063,74.7631935
3,1.482517483,62.92286874
3,0.755244755,61.23139378
3,0.517482517,62.92286874
3,0.293706294,66.30581867
3,0.713286713,44.65493911
3,0.867132867,39.24221922
3,0.811188811,33.15290934
3,0.965034965,27.06359946
3,1.426573427,13.53179973
3,1.832167832,10.82543978
3,2.797202797,9.810554804
3,1.986013986,47.02300406
3,1.986013986,50.74424899
3,1.986013986,34.16779432
3,2.027972028,37.21244926
3,2.447552448,34.50608931
3,2.48951049,51.75913396
3,3.006993007,40.93369418
3,3.202797203,44.31664411
3,3.202797203,36.87415426
3,0.923076923,71.38024357
3,1.776223776,13.87009472
3,1.174825175,54.46549391
3,1.104895105,49.72936401
3,11.2027972,9.810554804
3,10.99300699,8.795669824
3,10.68531469,11.16373478
3,10.39160839,8.795669824
3,10.01398601,11.16373478
3,9.93006993,2.706359946
3,9.202797203,3.044654939
3,9.006993007,3.721244926
3,9.006993007,8.795669824
3,9.062937063,8.795669824
3,9.006993007,13.87009472
3,8.433566434,9.810554804
3,8.503496503,7.442489851
3,8.251748252,7.442489851
3,8,1.691474966
3,7.776223776,5.074424899
3,11.00699301,4.059539919
3,10.72727273,1.01488498
3,6.531468531,2.029769959
3,6.559440559,4.059539919
3,6.475524476,10.82543978
3,6.223776224,5.412719892
3,5.86013986,6.089309878
3,5.608391608,2.029769959
3,5.944055944,23.34235453
3,5.902097902,28.41677943
3,5.594405594,30.78484438
3,4.965034965,34.8443843
3,5.006993007,33.49120433
3,4.629370629,31.12313938
3,4.321678322,32.47631935
3,4.307692308,29.7699594
3,4.783216783,26.04871448
3,4.909090909,25.71041949
3,5.496503497,10.48714479
3,5.188811189,5.074424899
3,4.993006993,7.442489851
3,6.20979021,11.16373478
3,6.335664336,9.810554804
